country	country_code	ETS information	main activity sector name	unit	value	year
Bulgaria	BG	1.1 Freely allocated allowances	21  Refining of mineral oil	tonne of CO2 equ.	2790746	2009
Bulgaria	BG	1.1 Freely allocated allowances	21  Refining of mineral oil	tonne of CO2 equ.	1521362	2019
Bulgaria	BG	1.1 Freely allocated allowances	21  Refining of mineral oil	tonne of CO2 equ.	1112813	2023
Bulgaria	BG	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	21  Refining of mineral oil	tonne of CO2 equ.	0	2017
Bulgaria	BG	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	21  Refining of mineral oil	tonne of CO2 equ.	0	2018
Bulgaria	BG	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	21  Refining of mineral oil	tonne of CO2 equ.	0	2021
Bulgaria	BG	1.1 Freely allocated allowances	10 Aviation	tonne of CO2 equ.	269245	2012
Bulgaria	BG	1.1.1 Free allocation to existing entities (Art. 10a(1))	10 Aviation	tonne of CO2 equ.	198516	2017
Bulgaria	BG	1.1.1 Free allocation to existing entities (Art. 10a(1))	10 Aviation	tonne of CO2 equ.	198516	2018
Bulgaria	BG	1.1.1 Free allocation to existing entities (Art. 10a(1))	10 Aviation	tonne of CO2 equ.	100893	2021
Bulgaria	BG	1.1.1 Free allocation to existing entities (Art. 10a(1))	10 Aviation	tonne of CO2 equ.	125440	2022
Bulgaria	BG	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	10 Aviation	tonne of CO2 equ.	0	2016
Bulgaria	BG	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	10 Aviation	tonne of CO2 equ.	0	2020
Bulgaria	BG	1.1.4 Swiss Free Allocated allowances for aircraft operators	10 Aviation	tonne of CO2 equ.	1199	2020
Bulgaria	BG	4. Total surrendered units	10 Aviation	tonne of CO2 equ.	515376	2014
Bulgaria	BG	4. Total surrendered units	10 Aviation	tonne of CO2 equ.	265566	2015
Bulgaria	BG	4.1 Surrendered EU allowances (EUAs and EUAAs)	10 Aviation	tonne of CO2 equ.	0	2007
Bulgaria	BG	4.2 Surrendered certified emission reductions (CERs)	10 Aviation	tonne of CO2 equ.	0	2010
Bulgaria	BG	4.3 Surrendered emission reduction units (ERUs)	10 Aviation	tonne of CO2 equ.	0	2011
Bulgaria	BG	4.3 Surrendered emission reduction units (ERUs)	10 Aviation	tonne of CO2 equ.	35104	2012
Bulgaria	BG	4.4 Surrendered Units CHU/CHUAA	10 Aviation	tonne of CO2 equ.	1187	2020
Bulgaria	BG	1.1 Freely allocated allowances	20 Combustion of fuels	tonne of CO2 equ.	30453798	2008
Bulgaria	BG	1.1 Freely allocated allowances	20 Combustion of fuels	tonne of CO2 equ.	27354325	2010
Bulgaria	BG	1.1 Freely allocated allowances	20 Combustion of fuels	tonne of CO2 equ.	5477428	2017
Bulgaria	BG	1.1 Freely allocated allowances	20 Combustion of fuels	tonne of CO2 equ.	4197406	2018
Bulgaria	BG	1.1 Freely allocated allowances	20 Combustion of fuels	tonne of CO2 equ.	761189	2021
Bulgaria	BG	1.1 Freely allocated allowances	20 Combustion of fuels	tonne of CO2 equ.	770335	2022
Bulgaria	BG	1.1.1 Free allocation to existing entities (Art. 10a(1))	20 Combustion of fuels	tonne of CO2 equ.	31518184	2009
Bulgaria	BG	1.1.1 Free allocation to existing entities (Art. 10a(1))	20 Combustion of fuels	tonne of CO2 equ.	1892957	2016
