Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,361569,-,-,-,36.06,-114.93,0,628,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI
2023,1,1,0,0,18
2023,1,1,0,15,6
2023,1,1,0,30,0
2023,1,1,0,45,0
2023,1,1,1,0,0
2023,1,1,1,15,0
2023,1,1,1,30,0
2023,1,1,1,45,0
2023,1,1,2,0,0
2023,1,1,2,15,0
2023,1,1,2,30,0
2023,1,1,2,45,0
2023,1,1,3,0,0
2023,1,1,3,15,0
2023,1,1,3,30,0
2023,1,1,3,45,0
2023,1,1,4,0,0
2023,1,1,4,15,0
2023,1,1,4,30,0
2023,1,1,4,45,0
2023,1,1,5,0,0
2023,1,1,5,15,0
2023,1,1,5,30,0
2023,1,1,5,45,0
2023,1,1,6,0,0
2023,1,1,6,15,0
2023,1,1,6,30,0
2023,1,1,6,45,0
2023,1,1,7,0,0
2023,1,1,7,15,0
2023,1,1,7,30,0
2023,1,1,7,45,0
2023,1,1,8,0,0
2023,1,1,8,15,0
2023,1,1,8,30,0
2023,1,1,8,45,0
2023,1,1,9,0,0
2023,1,1,9,15,0
2023,1,1,9,30,0
2023,1,1,9,45,0
2023,1,1,10,0,0
2023,1,1,10,15,0
2023,1,1,10,30,0
2023,1,1,10,45,0
2023,1,1,11,0,0
2023,1,1,11,15,0
2023,1,1,11,30,0
2023,1,1,11,45,0
2023,1,1,12,0,0
2023,1,1,12,15,0
2023,1,1,12,30,0
2023,1,1,12,45,0
2023,1,1,13,0,0
2023,1,1,13,15,0
2023,1,1,13,30,0
2023,1,1,13,45,0
2023,1,1,14,0,0
2023,1,1,14,15,0
2023,1,1,14,30,0
2023,1,1,14,45,0
2023,1,1,15,0,4
2023,1,1,15,15,16
2023,1,1,15,30,14
2023,1,1,15,45,104
2023,1,1,16,0,84
2023,1,1,16,15,78
2023,1,1,16,30,124
2023,1,1,16,45,238
2023,1,1,17,0,321
2023,1,1,17,15,305
2023,1,1,17,30,397
2023,1,1,17,45,431
2023,1,1,18,0,458
2023,1,1,18,15,116
2023,1,1,18,30,279
2023,1,1,18,45,522
2023,1,1,19,0,535
2023,1,1,19,15,545
2023,1,1,19,30,550
2023,1,1,19,45,552
2023,1,1,20,0,427
2023,1,1,20,15,401
2023,1,1,20,30,445
2023,1,1,20,45,425
2023,1,1,21,0,426
2023,1,1,21,15,304
2023,1,1,21,30,287
2023,1,1,21,45,238
2023,1,1,22,0,213
2023,1,1,22,15,235
2023,1,1,22,30,238
2023,1,1,22,45,81
2023,1,1,23,0,9
2023,1,1,23,15,7
2023,1,1,23,30,3
2023,1,1,23,45,41
2023,1,2,0,0,25
2023,1,2,0,15,18
2023,1,2,0,30,0
2023,1,2,0,45,0
2023,1,2,1,0,0
2023,1,2,1,15,0
2023,1,2,1,30,0
2023,1,2,1,45,0
2023,1,2,2,0,0
2023,1,2,2,15,0
2023,1,2,2,30,0
2023,1,2,2,45,0
2023,1,2,3,0,0
2023,1,2,3,15,0
2023,1,2,3,30,0
2023,1,2,3,45,0
2023,1,2,4,0,0
2023,1,2,4,15,0
2023,1,2,4,30,0
2023,1,2,4,45,0
2023,1,2,5,0,0
2023,1,2,5,15,0
2023,1,2,5,30,0
2023,1,2,5,45,0
2023,1,2,6,0,0
2023,1,2,6,15,0
2023,1,2,6,30,0
2023,1,2,6,45,0
2023,1,2,7,0,0
2023,1,2,7,15,0
2023,1,2,7,30,0
2023,1,2,7,45,0
2023,1,2,8,0,0
2023,1,2,8,15,0
2023,1,2,8,30,0
2023,1,2,8,45,0
2023,1,2,9,0,0
2023,1,2,9,15,0
2023,1,2,9,30,0
2023,1,2,9,45,0
2023,1,2,10,0,0
2023,1,2,10,15,0
2023,1,2,10,30,0
2023,1,2,10,45,0
2023,1,2,11,0,0
2023,1,2,11,15,0
2023,1,2,11,30,0
2023,1,2,11,45,0
2023,1,2,12,0,0
2023,1,2,12,15,0
2023,1,2,12,30,0
2023,1,2,12,45,0
2023,1,2,13,0,0
2023,1,2,13,15,0
2023,1,2,13,30,0
2023,1,2,13,45,0
2023,1,2,14,0,0
2023,1,2,14,15,0
2023,1,2,14,30,0
2023,1,2,14,45,0
2023,1,2,15,0,6
2023,1,2,15,15,25
2023,1,2,15,30,49
2023,1,2,15,45,72
2023,1,2,16,0,101
2023,1,2,16,15,143
2023,1,2,16,30,255
2023,1,2,16,45,296
2023,1,2,17,0,335
2023,1,2,17,15,371
2023,1,2,17,30,405
2023,1,2,17,45,438
2023,1,2,18,0,466
2023,1,2,18,15,491
2023,1,2,18,30,512
2023,1,2,18,45,529
2023,1,2,19,0,543
2023,1,2,19,15,552
2023,1,2,19,30,561
2023,1,2,19,45,563
2023,1,2,20,0,561
2023,1,2,20,15,554
2023,1,2,20,30,544
2023,1,2,20,45,529
2023,1,2,21,0,512
2023,1,2,21,15,490
2023,1,2,21,30,465
2023,1,2,21,45,436
2023,1,2,22,0,404
2023,1,2,22,15,370
2023,1,2,22,30,287
2023,1,2,22,45,242
2023,1,2,23,0,35
2023,1,2,23,15,160
2023,1,2,23,30,135
2023,1,2,23,45,59
2023,1,3,0,0,39
2023,1,3,0,15,21
2023,1,3,0,30,0
2023,1,3,0,45,0
2023,1,3,1,0,0
2023,1,3,1,15,0
2023,1,3,1,30,0
2023,1,3,1,45,0
2023,1,3,2,0,0
2023,1,3,2,15,0
2023,1,3,2,30,0
2023,1,3,2,45,0
2023,1,3,3,0,0
2023,1,3,3,15,0
2023,1,3,3,30,0
2023,1,3,3,45,0
2023,1,3,4,0,0
2023,1,3,4,15,0
2023,1,3,4,30,0
2023,1,3,4,45,0
2023,1,3,5,0,0
2023,1,3,5,15,0
2023,1,3,5,30,0
2023,1,3,5,45,0
2023,1,3,6,0,0
2023,1,3,6,15,0
2023,1,3,6,30,0
2023,1,3,6,45,0
2023,1,3,7,0,0
2023,1,3,7,15,0
2023,1,3,7,30,0
2023,1,3,7,45,0
2023,1,3,8,0,0
2023,1,3,8,15,0
2023,1,3,8,30,0
2023,1,3,8,45,0
2023,1,3,9,0,0
2023,1,3,9,15,0
2023,1,3,9,30,0
2023,1,3,9,45,0
2023,1,3,10,0,0
2023,1,3,10,15,0
2023,1,3,10,30,0
