Index,Price,Size,Lotsize,Taxes,Bedrooms,Baths,Quadrant
1,145000,1240,18000,1360,3,2,NW
2,68000,370,25000,1050,1,1,NW
3,115000,1130,25000,1010,3,1.5,NW
4,69000,1120,17000,830,3,2,SW
5,163000,1710,14000,2150,3,2,NW
6,69900,1010,8000,1230,3,2,NW
7,50000,860,15300,150,2,2,NW
8,137000,1420,18000,1470,3,2,NW
9,121300,1270,16000,1850,3,2,NW
10,70000,1160,8000,320,3,2,NW
11,64500,1220,12000,630,3,2,NE
12,167000,1690,30000,1780,3,2,NW
13,114600,1380,15500,1630,3,2,NW
14,103000,1590,16800,1530,3,2,NW
15,101000,1050,16000,930,3,1,NW
16,50000,770,22100,590,2,1,NW
17,85000,1410,12000,1050,3,2,NE
18,22500,1060,3500,20,3,1,SE
19,90000,1300,17500,870,2,2,NW
20,133000,1500,30000,1320,3,2,NW
21,90500,820,25700,1350,2,1,NW
22,260000,2130,25000,2790,3,2.5,NE
23,142500,1170,22000,680,2,1,NE
24,160000,1500,19000,1840,3,2,NW
25,240000,2790,20000,3680,4,2,NW
26,87000,1030,17500,1660,3,1,NW
27,118600,1250,20000,1620,3,2,NW
28,140000,1760,38000,3100,3,2,NW
29,148000,1550,14000,2070,2,3,NW
30,65000,1450,12000,650,3,1.5,NE
31,176000,2000,18000,2260,4,2,NW
32,86500,1350,14000,1760,3,1,NE
33,180000,1840,28000,2750,3,2,NW
34,179000,2510,25000,2020,4,2,NW
35,338000,3110,38000,4900,3,3,NW
36,130000,1760,30000,1180,4,2,NW
37,77300,1120,14500,590,3,1.5,NW
38,125000,1110,10000,1600,2,1,NW
39,100000,1360,25000,1970,3,2,NW
40,100000,1250,25000,2060,3,1,SW
41,100000,1250,25000,1980,3,1,NW
42,146500,1480,18000,1510,3,2,NW
43,144900,1520,20100,1710,3,2,NW
44,183000,2020,26000,1590,3,2,NW
45,77000,1220,12000,1580,3,1.5,NE
46,60000,1640,17500,1510,2,2,NW
47,127000,940,22000,1450,2,2,NW
48,86000,1580,12000,970,3,2,NE
49,95000,1270,12000,1250,3,2.5,NE
50,270500,2440,41000,4020,4,2.5,NW
51,75000,1520,12000,700,4,1.5,NE
52,81000,980,13000,820,2,1,NW
53,188000,2300,21600,2050,4,2,SW
54,85000,1430,12500,710,3,2,NE
55,137000,1380,18000,1280,3,2,NW
56,92900,1010,18000,1800,3,1.5,NW
57,93000,1780,4000,20,3,1.5,NW
58,109300,1120,15500,800,3,2,NW
59,131500,1900,25000,1220,3,2,NW
60,200000,2430,30000,3360,4,3,NW
61,81900,1080,8000,210,3,2,NW
62,91200,1350,13000,380,2,1,NW
63,124500,1720,12000,1920,4,3,NW
64,225000,4050,35000,4350,3,3,NE
65,136500,1500,18000,1510,3,2,NW
66,268000,2530,36000,4290,4,2.5,NW
67,70700,1020,9000,1160,3,1.5,NE
68,70000,2070,10800,970,4,2.5,NE
69,140000,1520,18500,1400,3,2,NW
70,89900,1280,6000,790,2,2,NW
71,137000,1620,18000,1210,3,2,NW
72,103000,1520,12000,1550,3,2,SW
73,183000,2030,23000,2800,3,2,NW
74,140000,1390,20100,2560,3,2,NW
75,160000,1880,22000,1390,4,2,NW
76,192000,2780,30000,2820,4,2.5,NW
77,130000,1340,27000,2850,2,1,NW
78,123000,940,22000,2230,2,2,NW
79,21000,580,9000,20,2,1,NW
80,85000,1410,12000,1510,4,2,NE
81,69900,1150,4500,710,3,2,SW
82,125000,1380,18000,1540,3,2,NW
83,162600,1470,20100,1780,3,2,NW
84,156900,1590,22000,2920,2,2,NW
85,105900,1200,15500,1710,3,2,NW
86,167500,1920,22000,1880,3,2,SW
87,151800,2150,29000,1680,3,2,NW
88,118300,2200,30000,3690,5,3,NW
89,94300,860,15500,900,2,2,NW
90,93900,1230,12000,560,3,1,NE
91,165000,1140,18200,2040,4,2,NW
92,285000,2650,36000,4390,4,3,NW
93,45000,1060,8000,690,3,1,NW
94,124900,1770,16000,2100,3,2,NW
95,147000,1860,35000,2880,4,2,NW
96,176000,1060,27500,990,2,2,NW
97,196500,1730,47400,3030,3,2,SW
98,132200,1370,18000,1580,3,2,NW
99,88400,1560,12000,1770,3,2,NE
100,127200,1340,18000,1430,3,2,NW
